"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"KROOGA","https://krooga.com/fr/","","https://www.linkedin.com/company/krooga-sas/mycompany/verification/","https://twitter.com/krooga","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","grocheteau@krooga.com","21 pl de la République
75003 Paris
FRANCE
grocheteau@krooga.com
https://krooga.com/fr/","Export by Amazon to Europe & the US: the revenues of e-commerce companies of Blix, the accelerator of French brands","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
E-retail agency","Solutions Workshops","Export by Amazon to Europe & the US: the revenues of e-commerce companies of Blix, the accelerator of French brands","",""
"LUNDI MATIN","https://lundimatin-groupe.fr/","http://www.facebook.com/lundimatin.fr","http://www.linkedin.com/company/lundi-matin-sas","https://twitter.com/Lundi_Matin","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@lundimatin.fr","144 rue d'Odin
Immeuble le Mustang
34000 Montpellier
FRANCE
contact@lundimatin.fr
https://lundimatin-groupe.fr/","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Softwares / ERP / Analytics","","","",""
"SARBACANE","http://www.sarbacane.com","https://www.facebook.com/SarbacaneSoftware","https://www.linkedin.com/company/2028789/admin/","https://twitter.com/sarbacanesoft","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sarbacane.com","3 avenue Antoine Pinay
ZAC des 4 Vents
59510 Hem
FRANCE
contact@sarbacane.com
http://www.sarbacane.com","Digital communication for retail: efficiency and performance","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Marketing automation
Mobile Marketing","Solutions Workshops","Digital communication for retail: efficiency and performance","",""
"ASSOCIATION DU PAIEMENT","http://www.associationdupaiement.fr","","https://www.linkedin.com/company/10982547","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@associationdupaiement.fr","128 rue de la Boétie
75008 Paris
FRANCE
contact@associationdupaiement.fr
http://www.associationdupaiement.fr","","","NEW MEANS OF PAYMENT","FEDERATIONS / ASSOCIATIONS / PRESS
Associations / Federations
Professional organization","","","",""
"FREQUENTIEL","https://frequentiel.com/fr/","","https://www.linkedin.com/company/frequentiel/","https://twitter.com/frequentiel","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@frequentiel.com","Immeuble l'Albatros
1 bis rue Antoine Lavoisier
31770 Colomiers
FRANCE
contact@frequentiel.com
https://frequentiel.com/fr/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
RFID / Multichannel traceability
Warehouse Management / Inventory Management / Financial Management","","","",""
"Naomi","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","64 boulevard de Cambrai
59100 Roubaix
FRANCE","","","","","","","",""
"Joom","http://www.joom.com","https://www.facebook.com/joom/","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/est.svg","ESTONIA","verabazhenova@joom.com","Gustava Zemgala gatve 78-1
98 Granville Road, Tsim Sha Tsui East
LV-1039 Riga
ESTONIA
verabazhenova@joom.com
http://www.joom.com","","Joom Marketplace is a platform for shopping from all over the world with 400 million installs and up to 1 mln orders per day.Joom Logistics is a logistics company that provides cross-border delivery from Europe, Japan, Korea, Mainland China, Hong Kong and other origins.","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Logistics & Supply chain softwares
Multi-channel logistics
Order management
PAYMENT SOLUTIONS
Fintech
Online payment","","","Joom Marketplace","Joom Marketplace is a platform for shopping from all over the world with 400 million installs and up to 1 mln orders per day.
"
"SHIPSTATION","http://www.shipstation.com","","https://www.linkedin.com/company/shipstation/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","sales@shipstation.fr","200 Grays Inn Road
WC1X 8XZ London
UNITED KINGDOM
sales@shipstation.fr
http://www.shipstation.com","Improve your customer experience with the best shipping solution","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
Order management","Solutions Workshops","Improve your customer experience with the best shipping solution","",""
"Storyblok","https://www.storyblok.com/","","https://www.linkedin.com/company/storyblok/","https://twitter.com/storyblok","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/aut.svg","AUSTRIA","sales@storyblok.com","Peter-Behrens-Platz 2
4020 Linz
AUSTRIA
sales@storyblok.com
https://www.storyblok.com/","The future of storytelling: the product, the brand and the why","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
CMS / Web content management","Solutions Workshops","The future of storytelling: the product, the brand and the why","",""
"Seiko Instruments","http://www.seiko-instruments.de","","https://www.linkedin.com/company/seikoinstrumentsgmbh","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","info@seiko-instruments.de","Siemensstrasse 9
63263 Neu-Isenburg
GERMANY
info@seiko-instruments.de
http://www.seiko-instruments.de","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"PriceComparator","https://pricecomparator.pro/","https://www.linkedin.com/company/pricecomparator-pro/","https://www.linkedin.com/company/pricecomparator-pro/","https://twitter.com/price_comp_pro","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@pricecomparator.pro","Cap Alpha
9 Avenue de l'Europe
34830 Clapiers
FRANCE
contact@pricecomparator.pro
https://pricecomparator.pro/","How to ensure sales on your e-commerce and on marketplaces despite inflation, supply difficulties and competition?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Price comparison engines / Online shopping guide","Solutions Workshops","How to ensure sales on your e-commerce and on marketplaces despite inflation, supply difficulties and competition?","",""
"IRIS IT","","","https://www.linkedin.com/company/iris-informatique/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@iris-it.fr","115 rue de Lisbonne
62138 Douvrin
FRANCE
contact@iris-it.fr","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Technical integration
SERVICES
Maintenance companies","","","",""
"CHECKOUT.COM","http://www.checkout.com","","https://www.linkedin.com/company/checkout/","https://twitter.com/Checkout?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","yourpayments@checkout.com","37-39 rue de Surène
75008 Paris
FRANCE
yourpayments@checkout.com
http://www.checkout.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment","","","",""
"Amazon Pay","https://pay.amazon.fr/","https://www.facebook.com/AmazonPay/","https://www.linkedin.com/showcase/amazon-pay/","https://twitter.com/amazonpay","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","margmaur@amazon.lu","38 avenue John F. Kennedy
L-1855 Luxembourg
FRANCE
margmaur@amazon.lu
https://pay.amazon.fr/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Secure payment","","","",""
"BROTHER","https://www.brother.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@brother.fr","Parc des Reflets - Paris Nord II
165 avenue du Bois de la Pie
BP 40061 
95913 Roissy CDG Cedex
FRANCE
info@brother.fr
https://www.brother.fr/","","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Labelling / Coding
Printing Solutions: Software, 3D…","","","",""
"Sympl.","https://sympl.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sympl.fr","259 rue saint Honoré
voie f porte 7
75018 Paris
FRANCE
contact@sympl.fr
https://sympl.fr/","Next generation shipping solution for e retailers","","","","Solutions Workshops","Next generation shipping solution for e retailers","",""
"Comarch","http://www.comarch.fr","","https://www.linkedin.com/company/comarch-sas/","https://twitter.com/Comarch_IT","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@comarch.fr","17 rue Paul Langevin
ZI du Hellu
59260 Lezennes
FRANCE
contact@comarch.fr
http://www.comarch.fr","","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"PAYSURF - CIC","http://www.paysurf.eu","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@paysurf.eu","4 Rue Frédéric-Guillaume Raiffeisen
67000 Strasbourg
FRANCE
contact@paysurf.eu
http://www.paysurf.eu","","","MARKETPLACES","IT FOR COMMERCE
Marketplace / Professional seller
PAYMENT SOLUTIONS
Secure payment","","","",""
"Bridge","https://bridgeapi.io/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@bridgeapi.io","4 rue de la Pierre Levée
75011 Paris
FRANCE
sales@bridgeapi.io
https://bridgeapi.io/","E-Commerce : The innovative payment solutions","","","","Solutions Workshops","E-Commerce : The innovative payment solutions","",""
"Actito","http://www.actito.com/fr-BE","","https://www.linkedin.com/company/actito/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","yasmine.chandid@actito.com","11 rue du Faubourg Poissonnière
75009 Paris
FRANCE
yasmine.chandid@actito.com
http://www.actito.com/fr-BE","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
DMP / Data Management
Marketing automation","","","",""
"BOWE FRANCE","https://bowe.com/en/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","commercial@bowe.fr","58 rue de Neuilly
Parc des Guillaumes
Bâtiment A1
93133 Noisy-le-Sec cedex
FRANCE
commercial@bowe.fr
https://bowe.com/en/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Automation (robots, picking ....)
Logistics & Supply chain softwares","","","",""
"Joko","https://www.joko.com/fr","","https://www.linkedin.com/company/18764169/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","nsalatbaroux@joko.com","Impasse de la planchette
75003 Paris
FRANCE
nsalatbaroux@joko.com
https://www.joko.com/fr","Joko, the ultimate acquisition solution based on bank transactions","","OMNI CHANNEL COMMERCE","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Study / Marketing research","Solutions Workshops","Joko, the ultimate acquisition solution based on bank transactions","",""
"BRIGHT DATA","http://www.brightdata.com","https://www.facebook.com/brightdataco","https://www.linkedin.com/company/bright-data/?originalSubdomain=il","https://twitter.com/bright_data","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/isr.svg","ISRAEL","sales@brightdata.com","HaMahshev St 3
4250713 Netanya
ISRAEL
sales@brightdata.com
http://www.brightdata.com","Winning more with web data - A real life success story explored","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database","Solutions Workshops","Winning more with web data - A real life success story explored","",""
"GALITT","https://www.galitt.com/","","https://www.linkedin.com/company/63323/","https://twitter.com/Galitt_officiel","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","albane.napierala@galitt.com","1 rue Serpentine
Immeuble Latitude
92903 Paris - la Défense
FRANCE
albane.napierala@galitt.com
https://www.galitt.com/","","Galitt supports financial institutions, merchants and payment industry players in transforming their payment services to make them simple, efficient and secure in everyday life.","NEW MEANS OF PAYMENT","CONSULTING AGENCIES
Communication Agencies / Strategy Consulting / PR
PAYMENT SOLUTIONS
Biometrics
Blockchain / Cryptocurrency (bitcoin ...)
Contactless payment
Cyber security
Digital Wallet
Fintech
M-payment
Online payment
Payment card solutions
Payment Kiosk / Payment terminal
Secure payment
SERVICES
Audit / Consultancy
Training / E-Learning","","","",""
"GLS France","https://gls-group.com/FR","https://www.facebook.com/GLSFrance/","https://www.linkedin.com/company/gls-france/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","information@gls-france.fr","14 rue Michel Labrousse
CS 93730
31037 Toulouse cedex 1
FRANCE
information@gls-france.fr
https://gls-group.com/FR","Customer Experience Innovation: boost your growth with geolocated delivery!","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Express delivery / Final mile delivery","Solutions Workshops","Customer Experience Innovation: boost your growth with geolocated delivery!","",""
"MBE France","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","37 bis rue du Général Leclerc
92130 ISSY-LES-MOULINEAUX
FRANCE","","","","","","","",""
"Medialeads","https://medialeads.fr/","","https://www.linkedin.com/company/medialeads/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","bastien@medialeads.fr","Agropole
47210 Estillac
FRANCE
bastien@medialeads.fr
https://medialeads.fr/","Birds'Marketplace, the new generation Saas Solution for your marketplace (products and services) emerging from the partnership between two expert agencies","","MARKETPLACES","IT FOR COMMERCE
Marketplace / Professional seller
Websites development / E-shops","Solutions Workshops","Birds'Marketplace, the new generation Saas Solution for your marketplace (products and services) emerging from the partnership between two expert agencies","",""
"ATHESI","http://www.athesi.com","","https://www.linkedin.com/company/athesi","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sebastien.michellet@athesi.com","31 rue des Clotais
94360 Bry-sur-Marne
FRANCE
sebastien.michellet@athesi.com
http://www.athesi.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
RFID / Multichannel traceability
RETAIL TECH / DIGITAL IN STORE
Computer equipment / Smartphone / Tablets","","","",""
"Ad's up Consulting","https://ads-up.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@ads-up.fr","103 boulevard de charonne
75011 PARIS
FRANCE
contact@ads-up.fr
https://ads-up.fr/","Google Ads news & PPC trends to adopt to perform in 2023!","","","","Solutions Workshops","Google Ads news & PPC trends to adopt to perform in 2023!","",""
"CGI France","https://www.cgi.com/en","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","georges.abouharb@cgi.com","17 Place des Reflets
Immeuble Cb16
92097 La défense Cedex
FRANCE
georges.abouharb@cgi.com
https://www.cgi.com/en","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
M-Commerce / Mobile sites
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
"EmailClub","http://www.emailclub.io","","https://www.linkedin.com/company/75039061/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/are.svg","UNITED ARAB EMIRATES","contact@emailclub.io","WeWork One Central
The offices 4
00000 Dubaï
UNITED ARAB EMIRATES
contact@emailclub.io
http://www.emailclub.io","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Marketing automation","","","",""
"BELIVE.AI","https://belive.ai/","","","https://twitter.com/ai_belive","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","jsergheraert@belive.ai","64 rue Baudoin d'Ailly
80000 Amiens
FRANCE
jsergheraert@belive.ai
https://belive.ai/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Warehouse Management / Inventory Management / Financial Management
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
